the_last_nth_timepoint,mean|SHAP val|,fold
0,0.02586840468272341,0
1,0.013198959476305611,0
2,0.028669682418878528,0
3,0.021025339083880244,0
4,0.0,0
5,0.000772609643638134,0
6,0.012067474211254866,0
7,0.01075902955889988,0
8,0.03457611548254689,0
9,0.0318156987821928,0
10,0.027177137405926775,0
11,0.005911118823215817,0
12,0.08959727877214355,0
13,0.0043843151275273625,0
14,0.08613152008558003,0
15,0.09162985729518464,0
0,0.0025510560259096823,1
1,0.023799633321478893,1
2,0.016765973130526836,1
3,0.008133487688651114,1
4,0.0,1
5,0.013896587942375336,1
6,0.012946914657045328,1
7,0.026171449238864053,1
8,0.0052317604942786755,1
9,0.009745157132603781,1
10,0.020439433730821847,1
11,0.04002367056598997,1
12,0.1392422950169257,1
13,0.01189286899355028,1
14,0.09674842841516704,1
15,0.06539821443341565,1
0,0.010964252481415773,2
1,0.005050277032748065,2
2,0.023966651377388713,2
3,0.008607192739970005,2
4,0.008462935474450487,2
5,0.022715682193666178,2
6,0.026918172516041998,2
7,0.03279059967702652,2
8,0.0,2
9,0.04748169338124759,2
10,0.019679766300593527,2
11,0.013362014234141495,2
12,0.04701490437292137,2
13,0.026277319981242393,2
14,0.024459305439934936,2
15,0.04570049537587534,2
0,0.09128879444972202,3
1,0.0009970486024860764,3
2,0.009600151180909606,3
3,0.009450334183069033,3
4,0.0017107949917453944,3
5,0.027112338457361218,3
6,0.02504055231167716,3
7,0.0022376844427442833,3
8,0.0,3
9,0.018603709430680605,3
10,0.01834344158628595,3
11,0.016223409389129875,3
12,0.02537613290217603,3
13,0.019298959011750598,3
14,0.07475472714554346,3
15,0.07614789057430048,3
0,0.00403307789095273,4
1,0.009848461607463785,4
2,0.0068309246523170445,4
3,0.0057709641446492205,4
4,0.021679840947558572,4
5,0.026331992970710365,4
6,0.021132406516544612,4
7,0.006028119591248797,4
8,0.013638617424392416,4
9,0.01079059527121009,4
10,0.026719966148853053,4
11,0.050020816663554804,4
12,0.04002672263743194,4
13,0.004951180078027336,4
14,0.04181610599765802,4
15,0.05954444447392761,4
